项目名称,金额(万元),取数口径,说明
货币资金,1500,ROUND_DOWN(1500万),各银行账户ROUND_DOWN后汇总
预付账款,90,ROUND_DOWN(90万),
其他应收款,250,ROUND_DOWN(250万),Type-B净额计算
流动资产合计,1840,=1500+90+250,BS所有行ROUND_DOWN(截尾取整)
合同资产净额,2000,ROUND_DOWN(2100万)-ROUND_DOWN(100万)=2100-100,组件级ROUND_DOWN后相减(关键!)
其他非流动资产,2100,2000+ROUND_DOWN(100万)=2000+100,合同资产+长期应收款
非流动资产合计,2100,
资产总计,3940,=1840+2100,
应付账款,310,ROUND_DOWN(400万)-ROUND_DOWN(90万)=400-90,应付账款减预付账款
应付职工薪酬,100,ROUND_DOWN(100万),
应交税费,60,ROUND_DOWN(60万),
合同负债,400,ROUND_DOWN(400万),5801贷方余额
其他应付款,2920,ROUND_DOWN(30万)+ROUND_DOWN(2890万)=30+2890,2241-01+3001(Type-B两科目合并)
其他流动负债,0,本demo无1126待结算进项税额,
长期应付款,150,ROUND_DOWN(150万),
流动负债合计,3790,=310+100+60+400+2920,
非流动负债合计,150,=150,
负债合计,3940,=3790+150,
权益合计,0,Type-B内部总包部结构(权益≈0,资产=负债),本demo简化权益填0
备注,资产总计3940=负债合计3940(平衡),内部总包部权益≈0
