项目编号,项目名称,业主类型,合同金额(万元),累计结算金额(万元),累计收款金额(万元),应收账款余额(万元),未到期(万元),已到期未付(万元),质保金(万元),账龄区间,是否已确权,是否已开票,最近催收日期,催收状态,责任部门,资料是否齐全
P2023-001,某市政道路项目,政府,8500,7650,6120,1530,510,765,255,1-2年,是,是,2026-03-15,已发催收函/待回复,财务部+商务部,是
P2023-002,某房建项目A,民企,4200,3780,2646,1134,0,1134,0,2-3年,是,是,2026-04-20,已发律师函/无实质进展,财务部+清欠办,否（缺验收单）
P2024-001,某公路项目,城投,12000,8400,7560,840,420,315,105,6个月-1年,是,是,2026-05-10,已电话沟通/预计下月回款,财务部,是
P2022-001,某水利项目,政府,5600,5320,3192,2128,0,0,2128,>3年,否（竣工结算未完成）,否,2025-12-01,已发催收函/业主称结算未批,商务部,否（缺审计审定单）
P2024-002,某城轨项目B,国企,18000,14400,11520,2880,1440,1080,360,6个月-1年,是,是,2026-04-01,已发催收函/业主已签收,财务部,是
P2025-001,某EPC项目,政府,25000,7500,6000,1500,1200,0,300,<6个月,是,是,2026-05-20,正常回款期/暂无催收,财务部+商务部,是
P2023-003,某房建项目B,民企,3200,2880,1440,1440,0,1440,0,1-2年,是,是,2026-02-10,已发律师函/业主经营困难,清欠办,否（缺业主回函）
P2021-001,某市政管网项目,城投,6200,6200,4650,1550,0,0,1550,>3年,否（竣工结算未完成）,否,2025-09-01,已发律师函/待结算完成后启动清欠,商务部+财务部,否（缺竣工决算批复）
P2024-003,某铁路项目A,政府,35000,28000,25200,2800,2100,525,175,6个月-1年,是,是,2026-03-30,已发催收函/业主称财政拨款滞后,财务部,是
P2023-004,某市政道路项目B,城投,9800,8330,5831,2499,0,1999,500,1-2年,是,是,2026-01-15,已发律师函/业主已承诺分期还款,清欠办+财务部,是
