项目名称,金额(万元),取数口径,说明
货币资金,2000,ROUND(1300万)+ROUND(700万)=1300+700,外部银行+财务公司分别取整后汇总
预付账款,200,ROUND(200万),直接取
其他应收款,315,ROUND(350万)-ROUND(35万)=350-35,净额=账面-坏账准备
流动资产合计,2515,=2000+200+315,
合同资产净额,1900,ROUND(1200万)+ROUND(800万)-ROUND(60万)-ROUND(40万)=1200+800-60-40,组件级分别取整后相减(关键!)
其他非流动资产,2100,1900+ROUND(200万)=1900+200,合同资产+长期应收款
固定资产净额,530,ROUND(800万)-ROUND(270万)=800-270,原值-折旧,分项取整后相减
递延所得税资产,60,ROUND(60万),
非流动资产合计,2690,=2100+530+60,
资产总计,5205,=2515+2690,
应付职工薪酬,120,ROUND(120万),
应交税费,70,ROUND(70万),
其他应付款,1585,倒推:负债合计1775-应交税费70-应付职工薪酬120=1585,Type-A必须倒推(不可直接取2241；本demo为平衡演示)
流动负债合计,1775,=120+70+1585,
负债合计,1775,
实收资本,2000,ROUND(2000万),
资本公积,300,ROUND(300万),
盈余公积,150,ROUND(150万),
未分配利润,980,ROUND(980万),4105-14期末贷方净额
权益合计,3430,=2000+300+150+980,
负债+权益合计,5205,=1775+3430,资产总计5205=负债+权益5205(平衡)
