科目代码,科目名称,期初方向,期初余额,本期借方,本期贷方,期末方向,期末余额
1002,银行存款,借,8000000,35000000,28000000,借,15000000
1123,预付账款,借,500000,1200000,800000,借,900000
1221,其他应收款,借,2000000,1500000,1000000,借,2500000
1483,合同资产,借,15000000,8000000,2000000,借,21000000
1484,合同资产减值准备,贷,750000,0,250000,贷,1000000
1531,长期应收款,借,1000000,0,0,借,1000000
2202,应付账款,贷,3000000,5000000,6000000,贷,4000000
2211,应付职工薪酬,贷,800000,10000000,10200000,贷,1000000
2221,应交税费,贷,500000,6000000,6100000,贷,600000
2241-01,其他应付款-外部,贷,400000,2500000,2400000,贷,300000
2701,长期应付款,贷,1500000,0,0,贷,1500000
3001,内部往来,贷,1200000,3000000,30700000,贷,28900000
5601,合同履约成本,借,5000000,12000000,11000000,借,6000000
5801,合同结算,贷,2000000,3000000,5000000,贷,4000000
6001,主营业务收入,贷,0,0,35000000,贷,35000000
6401,主营业务成本,借,0,24000000,0,借,24000000
6403,税金及附加,借,0,700000,0,借,700000
6603,财务费用,借,0,200000,80000,借,120000
6603-01,利息支出,借,0,200000,0,借,200000
6603-02,利息收入,贷,0,0,80000,贷,80000
6702,信用减值损失,借,0,250000,0,借,250000
